year,certificate,movielist
I 2012,12,Hit and Run
2001,AL,Jimmy Neutron: Boy Genius
2016,16,In a Valley of Violence
2013,12,Devil's Knot
2013,Not Rated,Wolf Creek 2
2008,12,The Edge of Love
2012,16,My Awkward Sexual Adventure
2006,6,Open Season
1986,16,April Fool's Day
1993,16,Point of No Return
2005,AL,The Wedding Date
2010,16,The Killer Inside Me
1999,16,Resurrection
1981,16,Quella villa accanto al cimitero
1978,12,Eyes of Laura Mars
1988,16,Waxwork
2011,16,Red State
2004,12,Flight of the Phoenix
I 2008,16,Splinter
2021,9,Finding 'Ohana
2011,12,30 Minutes or Less
2019,9,Between Two Ferns: The Movie
2016,16,Personal Shopper
1990,Not Rated,The Two Jakes
2007,12,Cleaner
1990,16,Dark Angel
2002,16,Below
1995,PG,Father of the Bride Part II
1993,AL,Little Buddha
2020,R,Let Them All Talk
2009,12,Extract
2011,16,Ironclad
2015,16,The Bronze
2011,12,A Good Old Fashioned Orgy
2011,16,Hobo with a Shotgun
2019,9,The Kid Who Would Be King
1977,16,The Car
2002,16,Undisputed
1994,PG,Little Big League
1998,16,Mercury Rising
2013,6,Drinking Buddies
2011,12,Coriolanus
1994,16,Escape from Absolom
1991,16,Out for Justice
1998,16,The Replacement Killers
2002,AL,S1m0ne
1988,6,Moonwalker
1998,12,The Newton Boys
2006,PG-13,ATL
1984,12,The Philadelphia Experiment
2016,12,A Hologram for the King
1973,Not Rated,The Crazies
1997,16,Snow White: A Tale of Terror
2009,12,Gentlemen Broncos
2009,12,In the Electric Mist
2008,6,The Tale of Despereaux
2007,16,The Invisible
1980,Not Rated,Any Which Way You Can
I 2016,12,Good Kids
2017,12,I Kill Giants
1980,AL,Bronco Billy
1989,6,Erik the Viking
2015,12,Our Brand Is Crisis
2008,12,The Oxford Murders
2001,R,O
2002,12,Dragonfly
1996,AL,Multiplicity
1987,12,Someone to Watch Over Me
1993,16,Sniper
2016,12,American Pastoral
2015,12,The Sea of Trees
2018,16,Gringo
2001,12,The Tailor of Panama
2012,16,The Seasoning House
1999,AL,Edtv
2006,6,Running with Scissors
2003,16,Willard
2018,AL,The Front Runner
2004,12,The Final Cut
2001,12,Antitrust
2013,R,Adult World
2002,12,Divine Secrets of the Ya-Ya Sisterhood
2013,12,Chennai Express
1992,12,Raising Cain
2002,12,City by the Sea
2022,AL,Jug Jugg Jeeyo
2021,12,Sooryavanshi
2011,PG,The Decoy Bride
2013,16,Broken City
2003,16,In Hell
2010,12,"Tomorrow, When the War Began"
1997,16,Murder at 1600
1997,AL,Addicted to Love
2009,12,ChÃ©ri
2017,13+,Rememory
2001,16,15 Minutes
1965,18,What's New Pussycat
1967,14,Doctor Dolittle
1998,16,Desperate Measures
2009,6,Duplicity
1996,PG-13,Up Close & Personal
2018,16,Stockholm
2012,16,The Sweeney
2011,12,Seeking Justice
1972,6,Conquest of the Planet of the Apes
2001,16,Impostor
2004,Not Rated,Calvaire
1989,Not Rated,Johnny Handsome
2020,AL,Godmothered
I 2006,12,Wilderness
2000,R,The Man Who Cried
1999,AL,Guest House Paradiso
2020,12,The Lovebirds
2001,12,Knockaround Guys
1999,AL,PokÃ©mon 2: De Film - Op Eigen Kracht
2015,R,The Overnight
2019,AL,Otherhood
2006,Unrated,Love and Other Disasters
2018,AL,The Princess Switch
2015,R,Desierto
2010,16,Burke & Hare
2011,16,360
2008,16,The Cottage
2014,12,God's Pocket
2006,16,Alatriste
2013,AL,The Invisible Woman
2000,AL,Rugrats in Paris: The Movie - Rugrats II
II 2017,R,Black Butterfly
2004,R,Employee of the Month
2013,16,Ninja: Shadow of a Tear
2008,12,Swing Vote
1992,PG-13,Leap of Faith
2013,16,Welcome to the Punch
2020,Not Rated,Miami Bici
2018,12,Like Father
1997,16,The Brave
2010,16,Bunraku
2008,R,Miracle at St. Anna
2021,Not Rated,Bellbottom
2007,R,My Name Is Bruce
2014,R,Cut Bank
2013,12,Dom Hemingway
2011,12,Friends with Kids
2007,16,Youth Without Youth
1999,16,The Corruptor
2007,16,Redacted
2011,16,Assassination Games
2016,Not Rated,Shivaay
2023,16,Thunivu
2016,Not Rated,Buster's Mal Heart
2009,6,Greta
2003,R,Code 46
I 2016,R,Hacker
2004,PG,Noel
2015,12,Kidnapping Freddy Heineken
2007,16,Sukiyaki uesutan Jango
2015,R,The Ones Below
2008,AL,Smart People
2017,6,Badrinath Ki Dulhania
2005,16,The Myth
I 2012,12,Brake
2018,Not Rated,1/1
2012,Not Rated,Billa 2
2020,Not Rated,Interreflections
I 2016,Not Rated,Turnabout
2016,Not Rated,Kabali
2000,Not Rated,Josh
2013,16,Yip Man: Jung gik yat zin
1998,Not Rated,Les couloirs du temps: Les visiteurs II
2001,AL,Yamakasi - Les samouraÃ¯s des temps modernes
2022,Not Rated,Valimai
2011,Not Rated,Velayudham
2015,Not Rated,Unbreakable Souls
2023,PG-13,You Are So Not Invited to My Bat Mitzvah
2009,16,Saw VI
2021,16,Those Who Wish Me Dead
2022,12,Hocus Pocus 2
2023,16,Kandahar
2023,12,Shazam! Fury of the Gods
1988,Not Rated,The Lair of the White Worm
2023,9,Happiness for Beginners
2022,R,The Blackening
2016,AL,My Big Fat Greek Wedding 2
2003,16,House of 1000 Corpses
2007,R,The Poughkeepsie Tapes
2006,12,The Fast and the Furious: Tokyo Drift
2019,16,The Blackout
II 2020,16,Becky
I 2010,6,Grown Ups
2019,16,The Lodge
1984,16,Friday the 13th: The Final Chapter
1989,Not Rated,Teen Witch
2011,16,Immortals
2014,16,The Taking of Deborah Logan
1972,18,Pink Flamingos
I 2020,16,Unhinged
1987,Not Rated,Dragnet
2012,16,No One Lives
2022,R,Sick
2016,12,Mike and Dave Need Wedding Dates
2022,6,Hotel Transylvania: Transformania
2018,16,The Spy Who Dumped Me
2014,12,Exodus: Gods and Kings
2011,12,Sucker Punch
1986,16,Jason Lives: Friday the 13th Part VI
2001,AL,Shallow Hal
1995,12,First Knight
2001,AL,Joe Dirt
1993,AL,Indecent Proposal
2021,16,Werewolves Within
2019,12,Murder Mystery
2004,6,Shark Tale
2019,12,Godzilla II: King of the Monsters
1987,16,The Gate
2008,16,The Midnight Meat Train
2022,12,Vesper
2016,16,The Boy
1988,16,Nico
2021,16,Don't Breathe 2
2022,6,Home Team
1999,AL,Stuart Little
1991,6,Teenage Mutant Ninja Turtles II: The Secret of the Ooze
2003,12,S.W.A.T.
2006,12,World Trade Center
2001,16,Original Sin
2009,6,Night at the Museum: Battle of the Smithsonian
2019,16,Captive State
I 2010,12,The Tourist
III 2014,12,The Gambler
2021,16,Censor
2016,16,The Purge: Election Year
2011,16,The Rite
II 2015,9,Circle
1994,AL,Camp Nowhere
2011,12,Cowboys
2013,16,V/H/S/2
2015,12,Absolutely Anything
2020,12,Honest Thief
2006,16,Miami Vice
1997,16,Mimic
2017,6,Smurfs: The Lost Village
1999,6,Never Been Kissed
2022,12,Mr. Harrigan's Phone
I 1995,12,The Net
2011,12,What's Your Number?
1987,Not Rated,Creepshow 2
2003,16,The Hunted
2019,12,The Room
1982,Not Rated,Mil gritos tiene la noche
2008,6,Bedtime Stories
1997,12,Dante's Peak
2020,16,Relic
1990,AL,Bird on a Wire
1998,R,The Object of My Affection
2005,12,Sahara
2019,16,Come to Daddy
2018,16,Unfriended: Dark Web
1998,PG-13,Hope Floats
2007,12,Margot at the Wedding
1983,16,Class
2014,16,The Signal
1984,16,Firestarter
2014,16,Taken 3
2020,16,Project Power
2015,12,Get Hard
1990,16,The Handmaid's Tale
I 2014,R,Backcountry
I 2020,12,Horse Girl
1997,12,G.I. Jane
1992,16,Split Second
2017,6,The Lego Ninjago Movie
1993,AL,Free Willy
2017,16,Chips
2015,6,The SpongeBob Movie: Sponge Out of Water
2004,MG6,Along Came Polly
2012,16,On the Road
2017,6,Daddy's Home 2
2009,12,Carriers
1998,AL,Wrongfully Accused
2004,12,Bridget Jones: The Edge of Reason
2019,16,Jexi
I 2014,12,Automata
1972,16,Boxcar Bertha
2011,12,Dream House
1993,R,Body Snatchers
2014,12,Walk of Shame
1983,AL,All the Right Moves
1995,16,Lord of Illusions
2020,16,Come True
1982,16,Het kleinste bordeel in Texas
1996,R,Kama Sutra: A Tale of Love
I 2011,16,The Woman
1988,16,Maniac Cop
2010,9,The Last Song
2008,12,Righteous Kill
2012,12,Lockout
2017,Not Rated,Cold Skin
1994,12,The Shadow
2009,16,Valhalla Rising
1992,6,Memoirs of an Invisible Man
1992,Not Rated,Medicine Man
I 1998,16,Soldier
I 2010,16,13
1995,6,The Indian in the Cupboard
2018,R,Super Troopers 2
2017,12,War Machine
1980,Not Rated,Motel Hell
1993,6,We're Back! A Dinosaur's Story
2017,12,My Cousin Rachel
2014,Not Rated,Starry Eyes
2013,12,Jobs
2018,16,Assassination Nation
2006,6,Arthur en de Minimoys
1996,12,The Substitute
2007,16,The Condemned
2023,AL,Tu Jhoothi Main Makkaar
2019,16,True History of the Kelly Gang
2003,16,A Man Apart
2008,AL,Baby Mama
I 2021,16,My Son
1981,16,Happy Birthday to Me
2017,R,Tragedy Girls
1994,R,Brainscan
2011,AL,Mr. Popper's Penguins
2015,6,Equals
2013,AL,The Zero Theorem
1970,14,Terugkeer naar de apenplaneet
2015,PG-13,Z for Zachariah
2012,AL,Parental Guidance
2001,12,Birthday Girl
2018,Not Rated,La nuit a dÃ©vorÃ© le monde
1997,16,The Peacemaker
2005,AL,Ice Princess
2004,AL,Raising Helen
1982,16,Death Wish II
2018,6,Destination Wedding
2015,Not Rated,The Escort
1989,AL,K-9
2008,12,The Lazarus Project
1995,12,Waiting to Exhale
1998,16,The Big Hit
1997,16,The Night Flier
I 2009,12,The Code
1996,AL,She's the One
2008,12,Deception
2014,16,Ask Me Anything
1986,Not Rated,Wildcats
1988,6,Tequila Sunrise
2020,9,The Christmas Chronicles: Deel twee
I 2017,R,Flower
2014,16,The Riot Club
2001,AL,Someone Like You...
2020,12,To All the Boys: P.S. I Still Love You
1993,16,The Dark Half
2008,AL,Nights in Rodanthe
1999,AL,AstÃ©rix & ObÃ©lix contre CÃ©sar
1991,AL,Rock-A-Doodle
2009,6,Planet 51
2008,6,Nim's Island
2020,16,The Crime Boss
2017,16,How to Be a Latin Lover
2007,AL,I Could Never Be Your Woman
I 2013,16,The Machine
1999,R,The Story of Us
2012,16,Erased
2023,16,Bholaa
1999,R,Pushing Tin
2008,6,De maanprinses en het geheim van het witte paard
2013,R,The Den
2013,12,Man of Tai Chi
2017,16,Anna and the Apocalypse
2008,6,Leatherheads
2012,PG-13,Sap ji sang ciu
1986,Not Rated,Legal Eagles
2015,12,Ricki and the Flash
1994,R,Phantasm III: Lord of the Dead
1998,6,Dead Man on Campus
2007,16,Bordertown
1999,12,Three to Tango
1980,Not Rated,Cheech and Chong's Next Movie
2002,AL,Gerry
2023,12,Varisu
2009,16,The Tournament
2019,12,Earthquake Bird
1991,AL,Dying Young
2017,AL,Churchill
2011,R,Violet & Daisy
2005,16,Fragile: A Ghost Story
1996,12,The Chamber
2018,12,2.0
2000,16,Anatomie
2008,16,Killshot
2009,16,Doghouse
1992,PG-13,Mr. Baseball
2012,16,Six Bullets
1999,PG-13,At First Sight
2011,16,The Caller
1999,PG-13,Boh lei chun
2017,12,The Polka King
2011,AL,Ladies vs. Ricky Bahl
2006,AL,Blind Dating
1998,AL,Senseless
2009,12,The Maiden Heist
2006,12,The Good German
2006,12,Half Light
1996,12,Blood & Wine
2013,16,Bailout: The Age of Greed
2006,12,Kabhi Alvida Naa Kehna
2014,12,Humpty Sharma Ki Dulhania
2008,Not Rated,I Sell the Dead
2012,12,"For a Good Time, Call..."
2022,6,Jayeshbhai Jordaar
2008,R,Franklyn
1996,16,Black Mask
2006,R,Right at Your Door
2004,12,Casshern
2017,R,Beatriz at Dinner
2019,12,Organize Isler: Sazan Sarmali
2007,Not Rated,Heyy Babyy
2014,16,Kick
2019,16,Mine 9
I 2015,Not Rated,Parallels
2012,12,2 Days in New York
2006,AL,AstÃ©rix et les Vikings
I 2010,Not Rated,Kites
2021,9,Azizler
2004,R,The I Inside
2015,Not Rated,MSG: The Messenger of God
I 2023,16,The Boogeyman
2023,16,Cocaine Bear
2023,R,Cobweb
2007,16,Saw IV
2016,12,Suicide Squad
2009,16,After.Life
1999,12,She's All That
1995,16,Species
2005,16,Hostel
2010,12,Percy Jackson & the Lightning Thief
2019,R,Vivarium
2020,16,Underwater
2008,16,The Ruins
2003,12,2 Fast 2 Furious
1999,12,Deep Blue Sea
2022,12,The School for Good and Evil
2018,12,Night Hunter
2021,16,Venom: Let There Be Carnage
2009,16,The Fourth Kind
2019,16,Annabelle Comes Home
1990,16,Child's Play 2
2018,12,The Kissing Booth
2021,6,Clifford the Big Red Dog
2004,16,The Grudge
2023,12,Pathaan
2011,16,Final Destination 5
2014,6,Into the Woods
2015,12,The Last Witch Hunter
1972,16,Last House on the Left
1987,AL,Mannequin
2022,16,Orphan: First Kill
2007,12,I Now Pronounce You Chuck & Larry
1986,12,9Â½ Weeks
2003,AL,Cheaper by the Dozen
2008,16,Punisher: War Zone
2004,AL,A Cinderella Story
1986,16,The Wraith
2006,6,Nacho Libre
1998,12,Six Days Seven Nights
2016,12,Teenage Mutant Ninja Turtles: Out of the Shadows
2012,16,Abraham Lincoln: Vampire Hunter
2017,12,Power Rangers
2009,12,Transformers: Revenge of the Fallen
2019,16,The Prodigy
I 2016,12,The Great Wall
1989,6,Look Who's Talking
2008,6,Star Wars: The Clone Wars
2005,12,Into the Blue
2022,16,Medieval
2001,12,Jurassic Park III
2021,16,Antlers
2016,12,Dirty Grandpa
2000,12,Vertical Limit
2021,12,Reminiscence
I 2016,16,The Void
2011,12,Hall Pass
2005,12,The Brothers Grimm
2020,9,Bill & Ted Face the Music
2012,12,Rock of Ages
2005,MG6,The Legend of Zorro
2019,12,The Wandering Earth
I 2012,16,The Possession
1998,12,Studio 54
1984,12,Conan the Destroyer
2016,16,London Has Fallen
1990,Not Rated,Men at Work
1984,12,Against All Odds
1981,Not Rated,The Funhouse
2018,16,Cam
I 2015,R,The Blackcoat's Daughter
1978,16,Piranha
1997,AL,The Borrowers
1994,16,Timecop
1991,AL,Drop Dead Fred
1986,12,The Golden Child
I 2021,16,Till Death
2017,12,All Eyez on Me
2001,12,The One
1996,12,Daylight
1985,Not Rated,The Stuff
2008,16,Quarantine
1994,R,Sirens
2007,12,Georgia Rule
2005,16,Hide and Seek
I 2008,16,Doomsday
1993,16,Return of the Living Dead III
2020,Not Rated,Spree
1979,AL,The Black Hole
2021,6,The Boss Baby 2: Family Business
2015,12,Victor Frankenstein
I 2007,16,The Invasion
2012,12,Iron Sky
I 2007,12,Premonition
1988,16,Fright Night Part 2
2010,R,Beyond the Black Rainbow
2007,PG-13,Why Did I Get Married?
2002,AL,Drumline
2011,AL,Gnomeo & Juliet
2020,6,SpongeBob: Schiet te Hulp
1990,6,Joe Versus the Volcano
2018,12,Mary Magdalene
1995,6,It Takes Two
2009,12,BrÃ¼no
2010,12,Dinner for Schmucks
2005,16,Domino
2012,12,Red Tails
1990,16,Marked for Death
1985,6,Girls Just Want to Have Fun
1993,PG-13,Son in Law
2020,AL,The Prom
1978,12,Game of Death
1997,AL,Vegas Vacation
1981,16,The Prowler
1987,Not Rated,Street Trash
2000,16,The 6th Day
1982,Not Rated,Firefox
2016,12,Keeping Up with the Joneses
2009,AL,My Life in Ruins
2001,16,Captain Corelli's Mandolin
2007,6,Nancy Drew
1984,AL,The Woman in Red
1992,12,Passenger 57
2007,16,P2
I 2012,12,Gone
1974,Not Rated,Earthquake
1996,16,The Fan
2012,16,The Secret
2016,12,Office Christmas Party
2008,6,Igor
2004,12,Dirty Dancing 2
1997,PG,RocketMan
2008,16,The X Files: I Want to Believe
2003,PG-13,Grind
1991,6,Curly Sue
1955,Not Rated,This Island Earth
2020,16,Fatman
2019,16,Waiting for the Barbarians
2001,12,American Outlaws
1990,R,Hardware
2013,12,The Incredible Burt Wonderstone
1992,16,Fortress
1990,12,Another 48 Hrs.
2018,16,Braven
2010,6,Henry's Crime
1988,AL,She's Having a Baby
1988,16,The Presidio
1999,16,Holy Smoke
1996,6,Harriet the Spy
I 2014,12,The Captive
1989,6,Who's Harry Crumb?
2014,6,Step Up All In
2015,16,Southbound
2005,AL,Guess Who
2014,12,Playing It Cool
I 2017,12,Kidnap
2019,12,Wasp Network
1983,12,Breathless
II 2006,AL,Catch and Release
2002,12,Undercover Brother
1994,R,The Road to Wellville
2014,AL,Planes 2: Redden & Blussen
2006,12,Let's Go to Prison
2019,6,Isn't It Romantic
2015,16,Tian jiang xiong shi
2013,16,Pawn War Chronicles
2013,R,Very Good Girls
2011,16,Sanctum
1986,6,Jumpin' Jack Flash
1986,Not Rated,DÃ¨moni 2... l'incubo ritorna
2002,16,Deathwatch
2008,6,Mad Money
2001,16,3000 Miles to Graceland
2016,6,Barbershop: A Fresh Cut
1998,16,Hard Rain
III 2021,16,Confrontatie
2015,16,Freaks of Nature
2010,AL,Just Wright
2008,16,TÃ´kyÃ´ zankoku keisatsu
2017,6,Batman and Harley Quinn
2015,16,Jane Got a Gun
2007,12,Sex and Death 101
2020,R,Mortal
2018,12,7 Days in Entebbe
1998,AL,The Rugrats Movie
1995,PG,Canadian Bacon
2020,16,A Fall from Grace
1996,PG-13,A Very Brady Sequel
2008,16,Pathology
2014,6,And So It Goes
I 2015,R,Man Down
2018,16,Rust Creek
2017,12,Tiger Zinda Hai
2018,16,Traffik
2013,16,We Are What We Are
1992,MG6,Honeymoon in Vegas
2007,16,88 Minutes
2016,R,Wiener-Dog
I 2013,R,Phantom
2016,12,Ride Along 2
2003,6,Duplex
1992,16,Final Analysis
2002,AL,Analyze That
2016,Not Rated,True Memoirs of an International Assassin
1996,Not Rated,Homeward Bound II: Lost in San Francisco
1995,R,Kiss of Death
I 2000,16,Gossip
I 2011,12,The Double
2008,16,The Children
2005,AL,Must Love Dogs
1988,Not Rated,Vice Versa
1992,12,Kuffs
1997,12,Robinson Crusoe
1987,MG6,Blind Date
2013,16,Haunter
2016,16,Special Correspondents
2007,AL,Then She Found Me
2015,R,Chi-Raq
2022,Not Rated,Love Hostel
1991,12,F/X2
1999,12,200 Cigarettes
2013,AL,G.B.F.
2017,12,iBoy
1992,AL,The Distinguished Gentleman
1992,PG,The Babe
2007,12,Reno 911!: Miami
I 2015,16,Backtrack
2014,AL,Welcome to Me
2006,12,School for Scoundrels
1999,16,Ringu 2
1991,Not Rated,Life Stinks
2012,16,Cockneys vs Zombies
1999,6,Mickey Blue Eyes
1994,AL,Trapped in Paradise
2009,Not Rated,La horde
2008,Not Rated,Kataude mashin gÃ¢ru
1991,16,Billy Bathgate
2007,6,Lucky You
2006,12,The Night Listener
2013,16,Police Story - Back for Law
2004,16,Les riviÃ¨res pourpres 2 - Les anges de l'apocalypse
2012,AL,Hyde Park on Hudson
2011,R,Hell
2012,12,Columbus Circle
2006,12,The Darwin Awards
2010,Not Rated,Khatta Meetha
2010,PG-13,Waiting for Forever
2015,Not Rated,Fack ju GÃ¶hte 2
I 2009,Not Rated,Heartless
2011,16,New Kids Nitro
2021,12,Thalaivi
2023,12,Fast X
2008,16,Saw V
I 2023,12,Ghosted
2021,16,Old
2017,12,Downsizing
1975,16,SalÃ² o le 120 giornate di Sodoma
1998,16,Halloween H20: 20 Years Later
1980,AL,The Blue Lagoon
1980,16,Cannibal Holocaust
1997,16,I Know What You Did Last Summer
1988,16,Halloween 4: The Return of Michael Myers
2006,16,Final Destination 3
2006,16,The Texas Chainsaw Massacre: The Beginning
I 2009,12,2012
2012,16,V/H/S
2022,16,Crimes of the Future
2021,16,Army of the Dead
2002,12,xXx
2020,16,The Babysitter: Killer Queen
2013,16,Oldboy
I 2022,9,Persuasion
1989,AL,Troop Beverly Hills
2000,16,Hollow Man
2004,16,Blade: Trinity
2016,16,Pride and Prejudice and Zombies
2012,12,Battleship
2013,12,The Mortal Instruments: City of Bones
1991,AL,Career Opportunities
1993,12,The Crush
2009,16,Splice
1968,18,Barbarella
2010,16,The Wolfman
2018,16,High Life
1978,12,Jaws 2
2014,12,Noah
1989,Not Rated,Leviathan
2004,AL,The Princess Diaries 2: Royal Engagement
2011,12,Something Borrowed
2022,16,The Contractor
1999,16,End of Days
2003,12,The League of Extraordinary Gentlemen
2003,16,Gothika
2017,12,Pitch Perfect 3
2022,9,Troll
2007,6,Wild Hogs
I 2019,16,Eli
2010,AL,Eat Pray Love
2018,16,Look Away
1990,16,RoboCop 2
2010,16,4.3.2.1.
1996,16,Thinner
2002,AL,Mr. Deeds
2002,16,Ken Park
1997,16,Wishmaster
1987,12,Over the Top
I 2016,12,Masterminds
2018,12,Skyscraper
2013,12,The Hangover Part III
1988,16,Rambo III
1992,PG,Encino Man
2019,16,The Wretched
2006,MG6,The Break-Up
2005,6,The Ringer
1974,18,Zardoz
1990,16,Hard to Kill
1995,12,Dracula: Dead and Loving It
I 2014,R,Last Shift
2009,16,The Haunting in Connecticut
1999,12,Lake Placid
II 2021,16,Without Remorse
1997,6,Good Burger
I 2021,R,Last Looks
2011,Not Rated,Age of Heroes
2009,R,Ninja
2003,PG-13,Alex & Emma
2015,Not Rated,Naomi and Ely's No Kiss List
2007,R,The Deaths of Ian Stone
2020,TV-14,Gunjan Saxena: The Kargil Girl
2023,Not Rated,Kranti
2011,Not Rated,"67th Street, New York, NY"
2023,PG-13,65
1997,PG-13,Excess Baggage
2023,R,The Out-Laws
2021,R,The Forever Purge
I 2014,R,Annabelle
2016,PG-13,Gods of Egypt
1985,R,A Nightmare on Elm Street 2: Freddy's Revenge
2020,PG-13,Wonder Woman 1984
1995,PG-13,Batman Forever
2013,PG-13,Grown Ups 2
1986,R,Maximum Overdrive
2021,R,No One Gets Out Alive
2019,R,3 from Hell
2022,R,Shotgun Wedding
2015,R,Curve
I 2007,R,Teeth
1995,R,Tank Girl
1992,R,The Lawnmower Man
2013,R,The Counselor
2010,PG-13,Killers
IV 2020,R,Ava
I 1998,PG-13,Godzilla
2018,PG-13,Replicas
2006,PG,Aquamarine
1992,R,Poison Ivy
2002,PG-13,Maid in Manhattan
2006,PG-13,Just My Luck
III 2019,PG-13,Countdown
2015,PG-13,Barely Lethal
2006,R,Turistas
2011,R,Drive Angry
2021,R,The Colony
II 2020,R,Fatale
2018,PG-13,Winchester
2020,PG,Superintelligence
1993,PG,Coneheads
2020,R,You Should Have Left
2005,R,Get Rich or Die Tryin'
II 2018,TV-MA,Mute
2021,PG-13,Voyagers
2007,PG,Evan Almighty
1988,PG,Earth Girls Are Easy
I 2015,PG-13,Aloha
2005,PG-13,Ãon Flux
1986,R,Psycho III
2003,R,In the Cut
2011,PG-13,Red Riding Hood
2005,PG-13,The Ring Two
2010,PG-13,How Do You Know
1994,PG,Richie Rich
I 2019,PG-13,The Hustle
2011,PG,The Smurfs
2015,R,Blackhat
2021,PG,The Addams Family 2
2002,R,Killing Me Softly
2011,PG-13,Season of the Witch
1990,PG,Problem Child
2014,PG-13,Vampire Academy
1998,R,Phantoms
2002,PG,Like Mike
2004,PG-13,D.E.B.S.
2014,PG-13,Jessabelle
2018,TV-MA,"Game Over, Man!"
2002,PG-13,The Tuxedo
2016,R,The Monster
2019,R,What Men Want
2021,R,Outside the Wire
2012,R,Bad Ass
1985,R,American Ninja
1996,R,Bordello of Blood
I 2021,R,Bliss
2003,PG-13,Bulletproof Monk
I 2014,R,Serena
2022,TV-14,Love in the Villa
2020,R,Follow Me
2012,PG-13,Fun Size
1996,R,Diabolique
2004,PG,Home on the Range
2014,PG-13,Big Game
2009,PG,Aliens in the Attic
2007,R,Pathfinder
2010,R,Hatchet II
1996,R,The Dentist
2011,PG,Hop
2007,PG-13,The Last Legion
2010,PG,The Spy Next Door
1987,PG-13,House II: The Second Story
1992,G,Tom and Jerry: The Movie
1988,PG-13,My Stepmother Is an Alien
2014,R,Northmen: A Viking Saga
I 2005,PG-13,Man of the House
2012,R,The Man with the Iron Fists
2004,PG,Christmas with the Kranks
1998,PG,Jack Frost
2008,PG-13,The Eye
2016,R,The Boss
1986,PG,Police Academy 3: Back in Training
2016,R,All I See Is You
2000,PG-13,Boys and Girls
2005,PG,The Perfect Man
2020,R,The Rhythm Section
2007,PG-13,Stomp the Yard
2016,R,I Am Wrath
2014,PG-13,The Longest Week
1992,R,Freejack
2001,PG-13,What's the Worst That Could Happen?
2017,PG-13,Overdrive
2016,R,The Trust
1973,G,Battle for the Planet of the Apes
2020,Not Rated,Meander
2010,R,Stone
2014,R,Burying the Ex
1987,R,Death Wish 4: The Crackdown
1984,R,Missing in Action
2002,PG-13,Darkness
1999,R,The Astronaut's Wife
2017,R,Bullet Head
2002,PG-13,I Spy
2008,R,100 Feet
I 2015,R,Unfinished Business
2002,R,Sorority Boys
1985,R,Invasion U.S.A.
2012,R,Bel Ami
1988,PG,Cocoon: The Return
2016,Not Rated,The Thinning
1996,R,The Glimmer Man
1994,PG-13,Mixed Nuts
2016,R,Absolutely Fabulous: The Movie
2011,PG,Mars Needs Moms
IV 2015,R,Synchronicity
2003,R,Undead
2011,PG,Prom
2001,PG-13,Head Over Heels
2013,R,Banshee Chapter
2013,Not Rated,Dhoom 3
2001,PG-13,Down to Earth
2015,Not Rated,Emelie
2006,PG-13,The Ex
2009,R,Nine Dead
2020,TV-G,The Princess Switch: Switched Again
1991,PG,King Ralph
2013,R,Killing Season
2004,PG-13,Surviving Christmas
2002,R,The Guru
1996,R,Feeling Minnesota
2008,R,The Other Man
1997,R,8 Heads in a Duffel Bag
2008,R,The Broken
2019,R,Killerman
2009,R,Balls Out: Gary the Tennis Coach
2020,Not Rated,Chhapaak
I 2013,R,In Fear
2002,R,People I Know
2015,Not Rated,Our Story
2018,R,The Nun
I 2019,PG-13,After
1979,Unrated,Caligula
I 2014,R,Tusk
2023,TV-14,Hidden Strike
1997,PG,Air Bud
2001,R,Scary Movie 2
2018,R,The Predator
2012,R,Spring Breakers
1987,PG,Masters of the Universe
1980,PG,Popeye
2010,R,Legion
2019,R,The Curse of La Llorona
2013,R,The Green Inferno
1980,R,Prom Night
2021,TV-MA,Things Heard & Seen
2023,TV-MA,Bird Box: Barcelona
2021,PG-13,Coming 2 America
2007,PG-13,Ghost Rider
2017,R,Cult of Chucky
II 2019,PG-13,The Silence
2020,PG-13,The New Mutants
1995,R,Jade
1992,R,Sleepwalkers
2017,PG-13,Geostorm
I 2017,PG-13,The Circle
2022,PG-13,Prey for the Devil
2012,PG-13,Red Dawn
1982,PG,Swamp Thing
2015,R,Sinister 2
2021,TV-MA,The Deep House
2000,PG-13,Little Nicky
1994,PG,Blank Check
2003,PG-13,Daredevil
2002,PG,Spy Kids 2: Island of Lost Dreams
2004,PG,Sleepover
2015,PG-13,Jupiter Ascending
2009,PG-13,"I Love You, Beth Cooper"
2009,PG,Paul Blart: Mall Cop
2019,TV-MA,Can You Keep a Secret?
2009,PG-13,Land of the Lost
1992,PG,3 Ninjas
2012,R,Resident Evil: Retribution
2012,PG-13,One for the Money
1989,PG,The Karate Kid Part III
II 2021,TV-14,Intrusion
1990,PG-13,Rocky V
2007,PG-13,Balls of Fury
I 2018,Not Rated,Terminal
2006,R,Southland Tales
2018,R,Slaughterhouse Rulez
2003,PG-13,Honey
1996,PG-13,Spy Hard
I 2021,R,Locked Down
2018,R,Acts of Violence
1995,PG-13,Congo
2017,R,Beyond Skyline
2001,PG-13,The Wedding Planner
2008,PG-13,Max Payne
2014,R,Wolves
1980,PG,Xanadu
2002,R,Eye See You
1997,PG,Flubber
2002,PG-13,Eight Crazy Nights
2012,PG-13,Vamps
2013,R,Are You Here
2010,PG-13,The Back-up Plan
2000,PG-13,Loser
2005,R,Edison
2012,R,Passion
2012,R,Bachelorette
2003,PG-13,Hollywood Homicide
